k_per_eff,y_per_eff,c_per_eff,A,k,y,c,ln_y,ln_c,g_y,case,Period
4.000426496331305,1.0137412372041237,0.7466288229302739,3.1922171785237414,12.770230183010336,3.2360821919809144,2.383401354538981,1.1743633981261354,0.8685286079965441,0.0027345292505274177,no shock with growth,71
3.957223279596398,0.9997048166377172,0.7362908828514488,3.245590704058003,12.843527090139993,3.2446326596813853,2.3896988448653222,1.1770021418010446,0.8711673516714533,0.0026387436749091275,no shock with growth,72
3.913704263758411,0.9857718942854675,0.7260291700651271,3.299856629159287,12.91466295933216,3.252905920196808,2.395792169802425,1.1795487261374928,0.8737139360079016,0.0025465843364482765,no shock with growth,73
3.8699193517186736,0.9719469508683062,0.7158469846594105,3.3550298746517146,12.983695037508946,3.2609110567398094,2.40168801921167,1.1820066215930853,0.8761718314634941,0.002457895455592496,no shock with growth,74
3.825915838975503,0.9582340908262417,0.7057473495883825,3.4111256108339707,13.050679503224677,3.2686568483915983,2.407392858959127,1.1843791508010457,0.8785443606714545,0.0023725292079603832,no shock with growth,75
3.7817385138449087,0.944637063517433,0.6957330262854009,3.468159261650491,13.115671451931584,3.2761517807363085,2.4129129387478376,1.1866694960336592,0.8808347059040679,0.002290345232613511,no shock with growth,76
3.737429755535528,0.931159283306526,0.6858065294583253,3.5261465089323916,13.178724884861644,3.2834040560912943,2.418254299652513,1.1888807062101894,0.8830459160805982,0.002211210176530143,no shock with growth,77
3.693029629957358,0.9178038486007635,0.6759701411097692,3.585103296709308,13.23989270120528,3.2904216033510876,2.4234227813696894,1.19101570348239,0.8851809133527989,0.0021349972722006783,no shock with growth,78
3.648575983167673,0.904573559889153,0.6662259238230964,3.6450458355933226,13.29922669329114,3.297212087461784,2.428424029195692,1.1930772894279495,0.8872424992983584,0.0020615859455594965,no shock with growth,79
3.6041045323787584,0.8914709368369286,0.6565757333526345,3.705990607236198,13.356777544493088,3.303782918541711,2.433263500744082,1.1950681508796723,0.8892333607500811,0.0019908614517227807,no shock with growth,80
3.5596489544710117,0.8784982344847067,0.6470212305544871,3.7679543688611288,13.412594829610997,3.3101412606634386,2.4379464724136835,1.1969908654159316,0.8911560752863404,0.0019227145362592513,no shock with growth,81
3.5152409719716746,0.8656574585990378,0.637563892692342,3.830954157870267,13.466727017490806,3.316294040311392,2.4424780456176802,1.1988479065358397,0.8930131164062486,0.0018570411199081427,no shock with growth,82
3.4709104364742926,0.8529503802185326,0.628205024150814,3.895007296529283,13.519221475667008,3.3222479545286108,2.446863152783775,1.2006416485407092,0.8948068584111178,0.0017937420048694808,no shock with growth,83
3.4266854094870456,0.840378549437362,0.618945766587107,3.9601313967302536,13.570124476827115,3.3280094787655248,2.4511065631348776,1.2023743711416623,0.8965395810120711,0.0017327226009531405,no shock with growth,84
3.3825922407095788,0.8279433084656811,0.6097871085501243,4.026344364834185,13.619481206912852,3.3335848744429666,2.4552128882593243,1.2040482638116874,0.8982134736820961,0.0016738926700250456,no shock with growth,85
